8103;Oœwiêcim Zatorska 1;R02;15 02 02*;0,03
8103;Oœwiêcim Zatorska 1;R02;15 01 06;9,08
8103;Oœwiêcim Zatorska 1;R02;13 02 08*;0,02
8103;Oœwiêcim Zatorska 1;R02;13 07 03*;0,00
8103;Oœwiêcim Zatorska 1;R02;15 01 03;4,00
8103;Oœwiêcim Zatorska 1;R02;15 01 01;26,82
8103;Oœwiêcim Zatorska 1;R02;15 01 02;5,22
8103;Oœwiêcim Zatorska 1;R02;15 02 03;0,06
8071;Ostrowiec ¯eromskiego 13;R06;17 04 05;5,19
8071;Ostrowiec ¯eromskiego 13;R06;15 01 10*;0,05
8071;Ostrowiec ¯eromskiego 13;R06;16 02 14;0,10
8071;Ostrowiec ¯eromskiego 13;R06;16 03 06;0,55
8071;Ostrowiec ¯eromskiego 13;R06;17 01 07;105,12
8071;Ostrowiec ¯eromskiego 13;R06;17 09 04;2,00
8071;Ostrowiec ¯eromskiego 13;R06;15 01 06;1,00
8071;Ostrowiec ¯eromskiego 13;R06;15 01 03;56,04
8071;Ostrowiec ¯eromskiego 13;R06;15 01 01;19,04
8071;Ostrowiec ¯eromskiego 13;R06;15 01 02;6,46
8024;Opole Wiejska 141A;R05;17 04 05;2,05
8024;Opole Wiejska 141A;R05;20 02 01;1,00
8024;Opole Wiejska 141A;R05;07 02 13;13,98
8024;Opole Wiejska 141A;R05;16 03 05*;0,06
8024;Opole Wiejska 141A;R05;16 02 14;0,04
8024;Opole Wiejska 141A;R05;17 09 04;110,24
8024;Opole Wiejska 141A;R05;17 06 04;2,68
8024;Opole Wiejska 141A;R05;15 01 03;85,70
8024;Opole Wiejska 141A;R05;15 01 01;33,44
8024;Opole Wiejska 141A;R05;07 04 80*;0,01
8024;Opole Wiejska 141A;R05;15 01 02;13,73
8122;Nysa Krasiñskiego 31;R05;17 04 05;1,63
8122;Nysa Krasiñskiego 31;R05;15 01 10*;0,07
8122;Nysa Krasiñskiego 31;R05;16 02 14;0,34
8122;Nysa Krasiñskiego 31;R05;16 03 04;37,14
8122;Nysa Krasiñskiego 31;R05;17 01 07;50,74
8122;Nysa Krasiñskiego 31;R05;15 02 02*;0,01
8122;Nysa Krasiñskiego 31;R05;13 07 03*;0,01
8122;Nysa Krasiñskiego 31;R05;15 01 03;42,56
8122;Nysa Krasiñskiego 31;R05;16 02 13*;0,07
8122;Nysa Krasiñskiego 31;R05;15 01 01;27,84
8122;Nysa Krasiñskiego 31;R05;07 04 80*;0,02
8122;Nysa Krasiñskiego 31;R05;15 01 02;6,26
8073;Nowy Targ Szaflarska 176;R02;17 04 05;3,63
8073;Nowy Targ Szaflarska 176;R02;15 01 10*;0,52
8073;Nowy Targ Szaflarska 176;R02;17 02 01;23,42
8073;Nowy Targ Szaflarska 176;R02;16 02 14;0,22
8073;Nowy Targ Szaflarska 176;R02;17 01 07;71,50
8073;Nowy Targ Szaflarska 176;R02;17 09 04;1,81
8073;Nowy Targ Szaflarska 176;R02;03 01 05;0,36
8073;Nowy Targ Szaflarska 176;R02;15 01 03;66,52
8073;Nowy Targ Szaflarska 176;R02;16 02 13*;0,03
8073;Nowy Targ Szaflarska 176;R02;15 01 01;39,48
8073;Nowy Targ Szaflarska 176;R02;15 01 02;10,82
8015;Sosnowiec D³ugosza 82;R05;17 04 05;4,54
8015;Sosnowiec D³ugosza 82;R05;16 03 03*;1,26
8015;Sosnowiec D³ugosza 82;R05;16 02 14;0,70
8015;Sosnowiec D³ugosza 82;R05;17 09 04;141,26
8015;Sosnowiec D³ugosza 82;R05;03 01 05;0,24
8015;Sosnowiec D³ugosza 82;R05;08 01 11*;0,83
8015;Sosnowiec D³ugosza 82;R05;15 01 06;63,20
8015;Sosnowiec D³ugosza 82;R05;15 01 03;77,01
8015;Sosnowiec D³ugosza 82;R05;15 01 01;46,61
8015;Sosnowiec D³ugosza 82;R05;15 01 02;6,52
8076;Nowy S¹cz Wêgierska 78;R06;17 01 01;18,63
8076;Nowy S¹cz Wêgierska 78;R06;16 02 14;0,05
8076;Nowy S¹cz Wêgierska 78;R06;07 04 81;0,15
8076;Nowy S¹cz Wêgierska 78;R06;17 01 07;28,38
8076;Nowy S¹cz Wêgierska 78;R06;15 01 03;95,26
8076;Nowy S¹cz Wêgierska 78;R06;16 02 13*;0,09
8076;Nowy S¹cz Wêgierska 78;R06;15 01 01;22,14
8076;Nowy S¹cz Wêgierska 78;R06;15 01 02;8,20
8067;Stare Miasto Ogrodowa 31;R01;15 01 10*;0,27
8067;Stare Miasto Ogrodowa 31;R01;16 03 03*;0,58
8067;Stare Miasto Ogrodowa 31;R01;16 02 14;0,04
8067;Stare Miasto Ogrodowa 31;R01;17 01 07;37,90
8067;Stare Miasto Ogrodowa 31;R01;17 04 07;3,65
8067;Stare Miasto Ogrodowa 31;R01;15 02 02*;0,06
8067;Stare Miasto Ogrodowa 31;R01;07 04 81;0,07
8067;Stare Miasto Ogrodowa 31;R01;15 01 03;80,32
8067;Stare Miasto Ogrodowa 31;R01;15 01 01;26,48
8067;Stare Miasto Ogrodowa 31;R01;15 01 02;8,96
8115;Swarzêdz Sienkiewicza 23;R04;17 04 05;1,50
8115;Swarzêdz Sienkiewicza 23;R04;15 01 06;51,54
8115;Swarzêdz Sienkiewicza 23;R04;16 03 05*;0,73
8115;Swarzêdz Sienkiewicza 23;R04;16 02 14;0,23
8115;Swarzêdz Sienkiewicza 23;R04;17 01 07;34,78
8115;Swarzêdz Sienkiewicza 23;R04;15 01 03;25,92
8115;Swarzêdz Sienkiewicza 23;R04;16 02 13*;0,11
8115;Swarzêdz Sienkiewicza 23;R04;15 01 01;26,89
8115;Swarzêdz Sienkiewicza 23;R04;15 01 02;2,18
8056;Zgorzelec Jeleniogórska 77;R03;17 04 05;1,25
8056;Zgorzelec Jeleniogórska 77;R03;17 01 01;24,62
8056;Zgorzelec Jeleniogórska 77;R03;15 01 10*;0,32
8056;Zgorzelec Jeleniogórska 77;R03;02 01 03;1,36
8056;Zgorzelec Jeleniogórska 77;R03;17 02 01;13,74
8056;Zgorzelec Jeleniogórska 77;R03;16 03 05*;0,56
8056;Zgorzelec Jeleniogórska 77;R03;16 02 14;0,63
8056;Zgorzelec Jeleniogórska 77;R03;17 01 07;62,86
8056;Zgorzelec Jeleniogórska 77;R03;03 01 05;1,76
8056;Zgorzelec Jeleniogórska 77;R03;15 01 11*;0,01
8056;Zgorzelec Jeleniogórska 77;R03;15 01 06;21,42
8056;Zgorzelec Jeleniogórska 77;R03;15 01 03;12,18
8056;Zgorzelec Jeleniogórska 77;R03;15 01 01;36,46
8056;Zgorzelec Jeleniogórska 77;R03;15 01 02;9,93
8056;Zgorzelec Jeleniogórska 77;R03;15 02 03;0,14
8097;Zamoœæ Dzieci Zamojszczyzny 4;R06;17 04 05;6,63
8097;Zamoœæ Dzieci Zamojszczyzny 4;R06;17 01 01;51,25
8097;Zamoœæ Dzieci Zamojszczyzny 4;R06;16 06 04;0,01
8097;Zamoœæ Dzieci Zamojszczyzny 4;R06;16 03 03*;0,23
8097;Zamoœæ Dzieci Zamojszczyzny 4;R06;16 02 14;0,54
