Store;Name;Region;17 09 04;15 01 03;15 01 02;15 01 01;17 04 05;16 02 13*;16 02 14;16 03 06;16 06 05;16 02 16;07 04 80*;16 03 05*;07 04 81;16 06 04;02 01 08*;20 03 07;20 01 36;17 09 03*;17 01 07;02 01 03;03 01 05;17 01 03;17 01 02;15 01 10*;15 01 11*;13 02 08*;17 01 01;15 01 06;17 04 07;16 03 03*;17 02 03;08 01 12;16 03 04;15 02 02*;16 02 11*;15 02 03;08 01 11*;20 02 01;13 07 03*;17 06 04;16 01 03;16 01 19;20 01 21*;13 02 05*;07 04 04*;20 03 99;08 03 18;15 01 04;17 04 02;17 02 01;16 06 01*;13 03 07*;07 02 13;20 01 29*;17 04 01;20 01 34;17 03 80;15 01 05;15 01 07;20 01 02;20 01 38;16 02 15*;03 01 04*;14 06 03*;20 01 35*;20 02 03;19 12 01;08 04 09*;08 04 10;20 03 01;17 02 02;15 01 09;20 01 39;06 13 01*;17 01 82;20 01 19*;17 08 02;20 01 01
8051;Kraków Pilotów 6;R02;;45,04;9,76;33,08;4,68;0,11;0,151;;;;;;;;;;;;94,06;;2,04;;;2,867;;;;31,42;;;;;;;;;;0,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8028;Koszalin Paderewskiego 2;R07;168,92;121,5;6,76;32,7;;;0,087;;;;;;;;;;;;;;;;;;;;;;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8126;Komorniki Konopackiej 20;R04;;;10,22;36,07;2,66;;0,05;;;;;;;;;;;;59,56;;55,18;;;0,135;;;;38,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8040;Kielce Wrzosowa 42;R06;31,2;96,68;7,48;21,36;;0,07;0,473;;;;;;0,047;;;;;;65,3;;;;;0,076;;;;23,66;3,37;0,319;;0,67;;0,132;;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8065;Kêdzierzyn-KoŸle Armii Krajowej 40;R05;;21,9;9;24,27;1,1;0,184;1,421;;;0,048;;;;;;;;;30,32;;;;;;;;;;;;;;41,54;;0,075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8007;Katowice RoŸdzieñskiego 198;R05;;81,31;12,7;55,12;0,36;;2,274;;;;0,05;;0,14;;;;;;83,78;;;;;0,766;0,01;;;70,94;;0,951;;;;;;0,048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8037;Kalisz Tylna 17-23;R01;53,26;66,66;8,48;29,16;8,247;0,169;0,784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8066;Jelenia Góra Jana Paw³a II 11;R03;24,34;22,62;14,02;33,66;1;0,13;0,13;;;;;;0,07;;;;;;27,49;;6,06;;;;;;;6,6;;;;;;;;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8022;Gorzów Ksiêcia Czartoryskiego 1;R04;157,72;72,23;14,01;22,17;;;;2,52;;;;0,072;;;;;;;;;1,67;;;0,27;0,008;;;;5,84;;;;;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8044;¯ory Zjednoczonej Europy 26;R02;;8,1;7,91;29,45;0,56;0,098;0,076;;;;;;;;;;;;139,5;;;;;0,12;;0,06;10;;;;;;;;;;0,6;;;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
